@RELATION winequality_outliers

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE outlier {0,1}

@DATA
1.329e+01,1.970e+00,2.680e+00,1.680e+01,1.020e+02,3.000e+00,3.230e+00,3.100e-01,1.660e+00,6.000e+00,1.070e+00,2.840e+00,1.270e+03,1
1.430e+01,1.920e+00,2.720e+00,2.000e+01,1.200e+02,2.800e+00,3.140e+00,3.300e-01,1.970e+00,6.200e+00,1.070e+00,2.650e+00,1.280e+03,1
1.368e+01,1.830e+00,2.360e+00,1.720e+01,1.040e+02,2.420e+00,2.690e+00,4.200e-01,1.970e+00,3.840e+00,1.230e+00,2.870e+00,9.900e+02,1
1.406e+01,2.150e+00,2.610e+00,1.760e+01,1.210e+02,2.600e+00,2.510e+00,3.100e-01,1.250e+00,5.050e+00,1.060e+00,3.580e+00,1.295e+03,1
1.422e+01,1.700e+00,2.300e+00,1.630e+01,1.180e+02,3.200e+00,3.000e+00,2.600e-01,2.030e+00,6.380e+00,9.400e-01,3.310e+00,9.700e+02,1
1.410e+01,2.020e+00,2.400e+00,1.880e+01,1.030e+02,2.750e+00,2.920e+00,3.200e-01,2.380e+00,6.200e+00,1.070e+00,2.750e+00,1.060e+03,1
1.386e+01,1.350e+00,2.270e+00,1.600e+01,9.800e+01,2.980e+00,3.150e+00,2.200e-01,1.850e+00,7.220e+00,1.010e+00,3.550e+00,1.045e+03,1
1.305e+01,1.650e+00,2.550e+00,1.800e+01,9.800e+01,2.450e+00,2.430e+00,2.900e-01,1.440e+00,4.250e+00,1.120e+00,2.510e+00,1.105e+03,1
1.420e+01,1.760e+00,2.450e+00,1.520e+01,1.120e+02,3.270e+00,3.390e+00,3.400e-01,1.970e+00,6.750e+00,1.050e+00,2.850e+00,1.450e+03,1
1.377e+01,1.900e+00,2.680e+00,1.710e+01,1.150e+02,3.000e+00,2.790e+00,3.900e-01,1.680e+00,6.300e+00,1.130e+00,2.930e+00,1.375e+03,1
1.237e+01,9.400e-01,1.360e+00,1.060e+01,8.800e+01,1.980e+00,5.700e-01,2.800e-01,4.200e-01,1.950e+00,1.050e+00,1.820e+00,5.200e+02,0
1.233e+01,1.100e+00,2.280e+00,1.600e+01,1.010e+02,2.050e+00,1.090e+00,6.300e-01,4.100e-01,3.270e+00,1.250e+00,1.670e+00,6.800e+02,0
1.264e+01,1.360e+00,2.020e+00,1.680e+01,1.000e+02,2.020e+00,1.410e+00,5.300e-01,6.200e-01,5.750e+00,9.800e-01,1.590e+00,4.500e+02,0
1.367e+01,1.250e+00,1.920e+00,1.800e+01,9.400e+01,2.100e+00,1.790e+00,3.200e-01,7.300e-01,3.800e+00,1.230e+00,2.460e+00,6.300e+02,0
1.237e+01,1.130e+00,2.160e+00,1.900e+01,8.700e+01,3.500e+00,3.100e+00,1.900e-01,1.870e+00,4.450e+00,1.220e+00,2.870e+00,4.200e+02,0
1.217e+01,1.450e+00,2.530e+00,1.900e+01,1.040e+02,1.890e+00,1.750e+00,4.500e-01,1.030e+00,2.950e+00,1.450e+00,2.230e+00,3.550e+02,0
1.237e+01,1.210e+00,2.560e+00,1.810e+01,9.800e+01,2.420e+00,2.650e+00,3.700e-01,2.080e+00,4.600e+00,1.190e+00,2.300e+00,6.780e+02,0
1.311e+01,1.010e+00,1.700e+00,1.500e+01,7.800e+01,2.980e+00,3.180e+00,2.600e-01,2.280e+00,5.300e+00,1.120e+00,3.180e+00,5.020e+02,0
1.237e+01,1.170e+00,1.920e+00,1.960e+01,7.800e+01,2.110e+00,2.000e+00,2.700e-01,1.040e+00,4.680e+00,1.120e+00,3.480e+00,5.100e+02,0
1.334e+01,9.400e-01,2.360e+00,1.700e+01,1.100e+02,2.530e+00,1.300e+00,5.500e-01,4.200e-01,3.170e+00,1.020e+00,1.930e+00,7.500e+02,0
1.221e+01,1.190e+00,1.750e+00,1.680e+01,1.510e+02,1.850e+00,1.280e+00,1.400e-01,2.500e+00,2.850e+00,1.280e+00,3.070e+00,7.180e+02,0
1.229e+01,1.610e+00,2.210e+00,2.040e+01,1.030e+02,1.100e+00,1.020e+00,3.700e-01,1.460e+00,3.050e+00,9.060e-01,1.820e+00,8.700e+02,0
1.386e+01,1.510e+00,2.670e+00,2.500e+01,8.600e+01,2.950e+00,2.860e+00,2.100e-01,1.870e+00,3.380e+00,1.360e+00,3.160e+00,4.100e+02,0
1.349e+01,1.660e+00,2.240e+00,2.400e+01,8.700e+01,1.880e+00,1.840e+00,2.700e-01,1.030e+00,3.740e+00,9.800e-01,2.780e+00,4.720e+02,0
1.299e+01,1.670e+00,2.600e+00,3.000e+01,1.390e+02,3.300e+00,2.890e+00,2.100e-01,1.960e+00,3.350e+00,1.310e+00,3.500e+00,9.850e+02,0
1.196e+01,1.090e+00,2.300e+00,2.100e+01,1.010e+02,3.380e+00,2.140e+00,1.300e-01,1.650e+00,3.210e+00,9.900e-01,3.130e+00,8.860e+02,0
1.166e+01,1.880e+00,1.920e+00,1.600e+01,9.700e+01,1.610e+00,1.570e+00,3.400e-01,1.150e+00,3.800e+00,1.230e+00,2.140e+00,4.280e+02,0
1.303e+01,9.000e-01,1.710e+00,1.600e+01,8.600e+01,1.950e+00,2.030e+00,2.400e-01,1.460e+00,4.600e+00,1.190e+00,2.480e+00,3.920e+02,0
1.184e+01,2.890e+00,2.230e+00,1.800e+01,1.120e+02,1.720e+00,1.320e+00,4.300e-01,9.500e-01,2.650e+00,9.600e-01,2.520e+00,5.000e+02,0
1.233e+01,9.900e-01,1.950e+00,1.480e+01,1.360e+02,1.900e+00,1.850e+00,3.500e-01,2.760e+00,3.400e+00,1.060e+00,2.310e+00,7.500e+02,0
1.270e+01,3.870e+00,2.400e+00,2.300e+01,1.010e+02,2.830e+00,2.550e+00,4.300e-01,1.950e+00,2.570e+00,1.190e+00,3.130e+00,4.630e+02,0
1.200e+01,9.200e-01,2.000e+00,1.900e+01,8.600e+01,2.420e+00,2.260e+00,3.000e-01,1.430e+00,2.500e+00,1.380e+00,3.120e+00,2.780e+02,0
1.272e+01,1.810e+00,2.200e+00,1.880e+01,8.600e+01,2.200e+00,2.530e+00,2.600e-01,1.770e+00,3.900e+00,1.160e+00,3.140e+00,7.140e+02,0
1.208e+01,1.130e+00,2.510e+00,2.400e+01,7.800e+01,2.000e+00,1.580e+00,4.000e-01,1.400e+00,2.200e+00,1.310e+00,2.720e+00,6.300e+02,0
1.305e+01,3.860e+00,2.320e+00,2.250e+01,8.500e+01,1.650e+00,1.590e+00,6.100e-01,1.620e+00,4.800e+00,8.400e-01,2.010e+00,5.150e+02,0
1.184e+01,8.900e-01,2.580e+00,1.800e+01,9.400e+01,2.200e+00,2.210e+00,2.200e-01,2.350e+00,3.050e+00,7.900e-01,3.080e+00,5.200e+02,0
1.267e+01,9.800e-01,2.240e+00,1.800e+01,9.900e+01,2.200e+00,1.940e+00,3.000e-01,1.460e+00,2.620e+00,1.230e+00,3.160e+00,4.500e+02,0
1.216e+01,1.610e+00,2.310e+00,2.280e+01,9.000e+01,1.780e+00,1.690e+00,4.300e-01,1.560e+00,2.450e+00,1.330e+00,2.260e+00,4.950e+02,0
1.165e+01,1.670e+00,2.620e+00,2.600e+01,8.800e+01,1.920e+00,1.610e+00,4.000e-01,1.340e+00,2.600e+00,1.360e+00,3.210e+00,5.620e+02,0
1.164e+01,2.060e+00,2.460e+00,2.160e+01,8.400e+01,1.950e+00,1.690e+00,4.800e-01,1.350e+00,2.800e+00,1,2.750e+00,6.800e+02,0
1.208e+01,1.330e+00,2.300e+00,2.360e+01,7.000e+01,2.200e+00,1.590e+00,4.200e-01,1.380e+00,1.740e+00,1.070e+00,3.210e+00,6.250e+02,0
1.208e+01,1.830e+00,2.320e+00,1.850e+01,8.100e+01,1.600e+00,1.500e+00,5.200e-01,1.640e+00,2.400e+00,1.080e+00,2.270e+00,4.800e+02,0
1.200e+01,1.510e+00,2.420e+00,2.200e+01,8.600e+01,1.450e+00,1.250e+00,5.000e-01,1.630e+00,3.600e+00,1.050e+00,2.650e+00,4.500e+02,0
1.269e+01,1.530e+00,2.260e+00,2.070e+01,8.000e+01,1.380e+00,1.460e+00,5.800e-01,1.620e+00,3.050e+00,9.600e-01,2.060e+00,4.950e+02,0
1.229e+01,2.830e+00,2.220e+00,1.800e+01,8.800e+01,2.450e+00,2.250e+00,2.500e-01,1.990e+00,2.150e+00,1.150e+00,3.300e+00,2.900e+02,0
1.162e+01,1.990e+00,2.280e+00,1.800e+01,9.800e+01,3.020e+00,2.260e+00,1.700e-01,1.350e+00,3.250e+00,1.160e+00,2.960e+00,3.450e+02,0
1.247e+01,1.520e+00,2.200e+00,1.900e+01,1.620e+02,2.500e+00,2.270e+00,3.200e-01,3.280e+00,2.600e+00,1.160e+00,2.630e+00,9.370e+02,0
1.181e+01,2.120e+00,2.740e+00,2.150e+01,1.340e+02,1.600e+00,9.900e-01,1.400e-01,1.560e+00,2.500e+00,9.500e-01,2.260e+00,6.250e+02,0
1.229e+01,1.410e+00,1.980e+00,1.600e+01,8.500e+01,2.550e+00,2.500e+00,2.900e-01,1.770e+00,2.900e+00,1.230e+00,2.740e+00,4.280e+02,0
1.237e+01,1.070e+00,2.100e+00,1.850e+01,8.800e+01,3.520e+00,3.750e+00,2.400e-01,1.950e+00,4.500e+00,1.040e+00,2.770e+00,6.600e+02,0
1.229e+01,3.170e+00,2.210e+00,1.800e+01,8.800e+01,2.850e+00,2.990e+00,4.500e-01,2.810e+00,2.300e+00,1.420e+00,2.830e+00,4.060e+02,0
1.208e+01,2.080e+00,1.700e+00,1.750e+01,9.700e+01,2.230e+00,2.170e+00,2.600e-01,1.400e+00,3.300e+00,1.270e+00,2.960e+00,7.100e+02,0
1.260e+01,1.340e+00,1.900e+00,1.850e+01,8.800e+01,1.450e+00,1.360e+00,2.900e-01,1.350e+00,2.450e+00,1.040e+00,2.770e+00,5.620e+02,0
1.234e+01,2.450e+00,2.460e+00,2.100e+01,9.800e+01,2.560e+00,2.110e+00,3.400e-01,1.310e+00,2.800e+00,8.000e-01,3.380e+00,4.380e+02,0
1.182e+01,1.720e+00,1.880e+00,1.950e+01,8.600e+01,2.500e+00,1.640e+00,3.700e-01,1.420e+00,2.060e+00,9.400e-01,2.440e+00,4.150e+02,0
1.251e+01,1.730e+00,1.980e+00,2.050e+01,8.500e+01,2.200e+00,1.920e+00,3.200e-01,1.480e+00,2.940e+00,1.040e+00,3.570e+00,6.720e+02,0
1.242e+01,2.550e+00,2.270e+00,2.200e+01,9.000e+01,1.680e+00,1.840e+00,6.600e-01,1.420e+00,2.700e+00,8.600e-01,3.300e+00,3.150e+02,0
1.225e+01,1.730e+00,2.120e+00,1.900e+01,8.000e+01,1.650e+00,2.030e+00,3.700e-01,1.630e+00,3.400e+00,1,3.170e+00,5.100e+02,0
1.272e+01,1.750e+00,2.280e+00,2.250e+01,8.400e+01,1.380e+00,1.760e+00,4.800e-01,1.630e+00,3.300e+00,8.800e-01,2.420e+00,4.880e+02,0
1.222e+01,1.290e+00,1.940e+00,1.900e+01,9.200e+01,2.360e+00,2.040e+00,3.900e-01,2.080e+00,2.700e+00,8.600e-01,3.020e+00,3.120e+02,0
1.161e+01,1.350e+00,2.700e+00,2.000e+01,9.400e+01,2.740e+00,2.920e+00,2.900e-01,2.490e+00,2.650e+00,9.600e-01,3.260e+00,6.800e+02,0
1.146e+01,3.740e+00,1.820e+00,1.950e+01,1.070e+02,3.180e+00,2.580e+00,2.400e-01,3.580e+00,2.900e+00,7.500e-01,2.810e+00,5.620e+02,0
1.252e+01,2.430e+00,2.170e+00,2.100e+01,8.800e+01,2.550e+00,2.270e+00,2.600e-01,1.220e+00,2.000e+00,9.000e-01,2.780e+00,3.250e+02,0
1.176e+01,2.680e+00,2.920e+00,2.000e+01,1.030e+02,1.750e+00,2.030e+00,6.000e-01,1.050e+00,3.800e+00,1.230e+00,2.500e+00,6.070e+02,0
